no,page,title,subtitle,author,price,pages,pub_date,bookcode,url,cover
100,7,카피 수업,독자를 설득하는 17가지 핵심 기술,"앨런 바커,임지연","32,000",612,2026.04.02,BN004793,https://www.gilbut.co.kr/book/view?bookcode=BN004793,https://gimg.gilbut.co.kr/book/BN004793/rn_view_BN004793.jpg
101,7,AI 자율학습 제미나이로 일 잘하는 법,"기획, 마케팅, 디자인, 영업/CS, 인사/교육 직무별 활용 사례, 나노 바나나, 비오, 리리아, 딥 리서치, 캔버스, Gems, NotebookLM, Flow, 구글 AI 스튜디오를 한 권에!",성구(강성규),"26,000",416,2026.04.01,BN004775,https://www.gilbut.co.kr/book/view?bookcode=BN004775,https://gimg.gilbut.co.kr/book/BN004775/rn_view_BN004775.jpg
102,7,"디즈니, 픽사 베스트 컬렉션 - 주토피아 2 Zootopia 2",국내 유일 전체 대본 수록!,라이언박(박용호),"26,000",456,2026.04.01,BN004771,https://www.gilbut.co.kr/book/view?bookcode=BN004771,https://gimg.gilbut.co.kr/book/BN004771/rn_view_BN004771.jpg
103,7,첫째아들의 집밥이 맛있어지는 요리 비법,,이승훈,"25,000",328,2026.03.31,BN004804,https://www.gilbut.co.kr/book/view?bookcode=BN004804,https://gimg.gilbut.co.kr/book/BN004804/rn_view_BN004804.jpg
104,7,고등학교 일본어 회화 자습서&평가문제집,,"박윤원,장일영,차승연,박덕환,김광빈,김려향,유예리,나카무라 유리","22,000",248,2026.03.30,BN004877,https://www.gilbut.co.kr/book/view?bookcode=BN004877,https://gimg.gilbut.co.kr/book/BN004877/rn_view_BN004877.png
105,7,2026 시나공 빅데이터분석기사 실기 Python 최신개정판,,김태헌,"32,000",588,2026.03.30,BN004801,https://www.gilbut.co.kr/book/view?bookcode=BN004801,https://gimg.gilbut.co.kr/book/BN004801/rn_view_BN004801.jpg
106,8,자발적 몰입을 이끄는 공부 대화의 기술,아이가 스스로 공부하게 만드는 동기부여 대화법,유정임,"19,800",360,2026.03.25,BN004781,https://www.gilbut.co.kr/book/view?bookcode=BN004781,https://gimg.gilbut.co.kr/book/BN004781/rn_view_BN004781.jpg
107,8,매일 한 장 쓰면서 만드는 인생의 태도,,웨인다이어,"22,000",256,2026.03.25,BN004780,https://www.gilbut.co.kr/book/view?bookcode=BN004780,https://gimg.gilbut.co.kr/book/BN004780/rn_view_BN004780.jpg
108,8,내 집에서 나이 들 수 있을까,끝까지 삶의 주도권을 지키는 노후 설계 수업,박한슬,"18,000",208,2026.03.25,BN004773,https://www.gilbut.co.kr/book/view?bookcode=BN004773,https://gimg.gilbut.co.kr/book/BN004773/rn_view_BN004773.jpg
109,8,와인 상식사전,"좋은 시간을 만드는 레드, 화이트, 스파클링 와인의 모든 것",이기태 관계없음||입문||초급||중급,"22,000",316,2026.03.25,BN004754,https://www.gilbut.co.kr/book/view?bookcode=BN004754,https://gimg.gilbut.co.kr/book/BN004754/rn_view_BN004754.jpg
